tissue,label,site,eqtl_n,rnaseq_n,has_egenes,egenes,sgenes,expressed_genes,rank_by_egenes,rank_by_sample_size,weight_egene,weight_unweighted,weight_ratio
Bladder,Bladder,Bladder,77,77,True,1685,949.0,26767,1,1,0.002775924415779112,0.02,0.1387962207889556
Kidney_Cortex,Kidney - Cortex,Kidney,103,104,True,2718,1061.0,25752,2,2,0.00447772258877604,0.02,0.22388612943880198
Vagina,Vagina,Vagina,170,170,True,4914,2021.0,26952,3,4,0.008095485210171251,0.02,0.4047742605085626
Uterus,Uterus,Uterus,152,153,True,5030,2088.0,26335,4,3,0.008286587425144768,0.02,0.4143293712572384
Brain_Substantia_nigra,Brain - Substantia nigra,Brain,183,183,True,6402,1711.0,25195,5,7,0.010546865347072923,0.02,0.5273432673536461
Brain_Amygdala,Brain - Amygdala,Brain,180,181,True,6510,1640.0,24991,6,5,0.01072478809894482,0.02,0.536239404947241
Ovary,Ovary,Ovary,192,193,True,6691,2567.0,26354,7,8,0.011022973451619015,0.02,0.5511486725809507
Minor_Salivary_Gland,Minor Salivary Gland,Salivary Gland,180,181,True,7263,2496.0,26644,8,6,0.01196530506338498,0.02,0.5982652531692491
Liver,Liver,Liver,261,262,True,7453,2072.0,22946,9,15,0.0122783173120485,0.02,0.613915865602425
Small_Intestine_Terminal_Ileum,Small Intestine - Terminal Ileum,Small Intestine,206,207,True,8067,2849.0,27299,10,10,0.01328984110509798,0.02,0.6644920552548991
Brain_Spinal_cord_cervical_c-1,Brain - Spinal cord (cervical c-1),Brain,203,204,True,8584,2112.0,25721,11,9,0.014141563908040297,0.02,0.7070781954020148
Artery_Coronary,Artery - Coronary,Blood Vessel,268,268,True,8705,3164.0,25675,12,19,0.014340903287452328,0.02,0.7170451643726163
Brain_Hypothalamus,Brain - Hypothalamus,Brain,256,257,True,9238,2633.0,26212,13,14,0.015218985016597887,0.02,0.7609492508298943
Brain_Hippocampus,Brain - Hippocampus,Brain,254,255,True,9344,2290.0,25468,14,13,0.015393612902694377,0.02,0.7696806451347188
Brain_Anterior_cingulate_cortex_BA24,Brain - Anterior qcingulate cortex (BA24),Brain,233,233,True,9490,2350.0,25420,15,11,0.015634138104298975,0.02,0.7817069052149487
Prostate,Prostate,Prostate,281,282,True,9932,3466.0,27675,16,22,0.016362303440663587,0.02,0.8181151720331793
Brain_Putamen_basal_ganglia,Brain - Putamen (basal ganglia),Brain,253,254,True,10406,2445.0,24915,17,12,0.017143186629434683,0.02,0.8571593314717341
Adrenal_Gland,Adrenal Gland,Adrenal Gland,295,295,True,10451,3298.0,24747,18,24,0.017217321109381307,0.02,0.8608660554690654
Heart_Left_Ventricle,Heart - Left Ventricle,Heart,450,452,True,11070,3027.0,21954,19,33,0.0182370820668693,0.02,0.911854103343465
Stomach,Stomach,Stomach,407,407,True,11221,3622.0,25235,20,30,0.018485844432912416,0.02,0.9242922216456207
Pancreas,Pancreas,Pancreas,362,362,True,11584,3046.0,23198,21,28,0.019083862571148507,0.02,0.9541931285574253
Brain_Nucleus_accumbens_basal_ganglia,Brain - Nucleus accumbens (basal ganglia),Brain,284,285,True,12026,3120.0,25926,22,23,0.019812027907513116,0.02,0.9906013953756558
Pituitary,Pituitary,Pituitary,311,313,True,12247,4133.0,28168,23,26,0.020176110575695422,0.02,1.008805528784771
Cells_EBV-transformed_lymphocytes,Cells - EBV-transformed lymphocytes,Blood Vessel,326,327,True,12428,4980.0,23578,24,27,0.020474295928369617,0.02,1.0237147964184807
Brain_Frontal_Cortex_BA9,Brain - Frontal Cortex (BA9),Brain,268,269,True,12429,3005.0,25884,25,18,0.02047594336125732,0.02,1.023797168062866
Brain_Caudate_basal_ganglia,Brain - Caudate (basal ganglia),Brain,298,300,True,12719,3102.0,25768,26,25,0.020953698898691114,0.02,1.0476849449345558
Esophagus_Gastroesophageal_Junction,Esophagus - Gastroesophageal Junction,Esophagus,403,403,True,12729,4318.0,25106,27,29,0.020970173227568143,0.02,1.0485086613784071
Brain_Cortex,Brain - Cortex,Brain,268,270,True,12746,3109.0,26134,28,17,0.020998179586659088,0.02,1.0499089793329544
Heart_Atrial_Appendage,Heart - Atrial Appendage,Heart,460,461,True,13035,4111.0,24082,29,34,0.021474287691205178,0.02,1.0737143845602588
Spleen,Spleen,Spleen,277,277,True,13180,3762.0,26595,30,21,0.021713165459922076,0.02,1.0856582729961037
Colon_Sigmoid,Colon - Sigmoid,Colon,418,419,True,13218,4324.0,25506,31,32,0.02177576790965478,0.02,1.0887883954827389
Breast_Mammary_Tissue,Breast - Mammary Tissue,Breast,511,514,True,13415,5332.0,26887,32,37,0.022100312188532218,0.02,1.1050156094266108
Whole_Blood,Whole Blood,Blood,800,803,True,13903,3650.0,20993,33,49,0.022904259437731157,0.02,1.1452129718865578
Colon_Transverse,Colon - Transverse,Colon,478,479,True,14020,4709.0,26488,34,36,0.023097009085592375,0.02,1.1548504542796187
Brain_Cerebellar_Hemisphere,Brain - Cerebellar Hemisphere,Brain,276,277,True,14092,3893.0,26170,35,20,0.023215624253506973,0.02,1.1607812126753487
Brain_Cerebellum,Brain - Cerebellum,Brain,264,266,True,14182,3748.0,26696,36,16,0.023363893213400218,0.02,1.1681946606700109
Adipose_Visceral_Omentum,Adipose - Visceral (Omentum),Adipose Tissue,584,587,True,14496,5335.0,25760,37,39,0.023881187140138878,0.02,1.1940593570069438
Artery_Aorta,Artery - Aorta,Blood Vessel,472,472,True,14650,4704.0,24990,38,35,0.0241348918048451,0.02,1.2067445902422549
Muscle_Skeletal,Muscle - Skeletal,Muscle,816,818,True,14957,4964.0,21747,39,50,0.02464065370136984,0.02,1.232032685068492
Esophagus_Muscularis,Esophagus - Muscularis,Esophagus,561,561,True,15924,5163.0,24783,40,38,0.026233721303778386,0.02,1.3116860651889193
Lung,Lung,Lung,601,604,True,16312,5910.0,27267,41,40,0.02687292526420705,0.02,1.3436462632103525
Esophagus_Mucosa,Esophagus - Mucosa,Esophagus,614,614,True,16470,4944.0,24758,42,41,0.027133219660464083,0.02,1.3566609830232041
Artery_Tibial,Artery - Tibial,Blood Vessel,689,691,True,17138,5817.0,24253,43,46,0.02823370482944951,0.02,1.4116852414724754
Cells_Cultured_fibroblasts,Cells - Cultured fibroblasts,Skin,649,652,True,17205,5915.0,22633,44,42,0.028344082832925593,0.02,1.4172041416462795
Adipose_Subcutaneous,Adipose - Subcutaneous,Adipose Tissue,711,714,True,17562,6288.0,25667,45,47,0.02893221637383547,0.02,1.4466108186917734
Skin_Not_Sun_Exposed_Suprapubic,Skin - Not Sun Exposed (Suprapubic),Skin,649,651,True,17594,5743.0,26219,46,43,0.02898493422624196,0.02,1.449246711312098
Skin_Sun_Exposed_Lower_leg,Skin - Sun Exposed (Lower leg),Skin,751,754,True,19291,6415.0,26265,47,48,0.0317806278366735,0.02,1.589031391833675
Thyroid,Thyroid,Thyroid,681,684,True,19484,6474.0,27173,48,45,0.03209858238400013,0.02,1.6049291192000066
Nerve_Tibial,Nerve - Tibial,Nerve,667,670,True,20101,6590.0,27107,49,44,0.03311504847571272,0.02,1.655752423785636
Testis,Testis,Testis,413,414,True,22694,10788.0,37081,50,31,0.037386841953525915,0.02,1.8693420976762958
