tissue,label,site,eqtl_n,rnaseq_n,has_egenes,egenes,sgenes,expressed_genes,rank_by_egenes,rank_by_sample_size,weight_egene,weight_unweighted,weight_ratio
Kidney_Cortex,Kidney - Cortex,Kidney,73,85,True,1260,547.0,29263,1,1,0.0026480101044703036,0.02040816326530612,0.12975249511904488
Brain_Substantia_nigra,Brain - Substantia nigra,Brain,114,139,True,3301,814.0,28050,2,2,0.0069373661546479936,0.02040816326530612,0.3399309415777517
Uterus,Uterus,Uterus,129,142,True,3577,1524.0,29192,3,4,0.00751740646324625,0.02040816326530612,0.3683529166990663
Brain_Amygdala,Brain - Amygdala,Brain,129,152,True,3726,892.0,28196,4,5,0.007830544166076469,0.02040816326530612,0.383696664137747
Vagina,Vagina,Vagina,141,156,True,3730,1460.0,29727,5,6,0.007838950547360501,0.02040816326530612,0.3841085768206646
Brain_Spinal_cord_cervical_c-1,Brain - Spinal cord (cervical c-1),Brain,126,159,True,4483,1144.0,28352,6,3,0.00942145182407966,0.02040816326530612,0.4616511393799034
Minor_Salivary_Gland,Minor Salivary Gland,Salivary Gland,144,162,True,4836,1648.0,30270,7,7,0.010163314972395546,0.02040816326530612,0.4980024336473818
Cells_EBV-transformed_lymphocytes,Cells - EBV-transformed lymphocytes,Blood Vessel,147,174,True,4934,2360.0,27840,8,8,0.010369271313854346,0.02040816326530612,0.508094294378863
Brain_Hypothalamus,Brain - Hypothalamus,Brain,170,202,True,5499,1414.0,29502,9,12,0.011556672670223967,0.02040816326530612,0.5662769608409745
Brain_Hippocampus,Brain - Hippocampus,Brain,165,197,True,5517,1185.0,28625,10,10,0.011594501386002114,0.02040816326530612,0.5681305679141037
Ovary,Ovary,Ovary,167,180,True,5542,1998.0,29523,11,11,0.011647041269027318,0.02040816326530612,0.5707050221823387
Brain_Anterior_cingulate_cortex_BA24,Brain - Anterior cingulate cortex (BA24),Brain,147,176,True,5640,1238.0,28921,12,9,0.01185299761048612,0.02040816326530612,0.5807968829138199
Liver,Liver,Liver,208,226,True,5734,1485.0,26560,13,20,0.012050547570660888,0.02040816326530612,0.5904768309623836
Artery_Coronary,Artery - Coronary,Blood Vessel,213,240,True,6296,2140.0,28462,14,22,0.013231644141067485,0.02040816326530612,0.6483505629123069
Small_Intestine_Terminal_Ileum,Small Intestine - Terminal Ileum,Small Intestine,174,187,True,6681,2084.0,30321,15,14,0.014040758339655632,0.02040816326530612,0.687997158643126
Brain_Putamen_basal_ganglia,Brain - Putamen (basal ganglia),Brain,170,205,True,6902,1350.0,28335,16,13,0.01450521090559844,0.02040816326530612,0.7107553343743236
Brain_Frontal_Cortex_BA9,Brain - Frontal Cortex (BA9),Brain,175,209,True,7335,1684.0,29132,17,16,0.015415201679594981,0.02040816326530612,0.7553448823001542
Prostate,Prostate,Prostate,221,245,True,7356,2463.0,30385,18,23,0.015459335181336152,0.02040816326530612,0.7575074238854715
Adrenal_Gland,Adrenal Gland,Adrenal Gland,233,258,True,8123,2369.0,28235,19,25,0.017071258792549424,0.02040816326530612,0.8364916808349219
Brain_Nucleus_accumbens_basal_ganglia,Brain - Nucleus accumbens (basal ganglia),Brain,202,246,True,8198,1881.0,29339,20,18,0.017228878441625038,0.02040816326530612,0.844215043639627
Brain_Caudate_basal_ganglia,Brain - Caudate (basal ganglia),Brain,194,246,True,8362,1809.0,29230,21,17,0.01757354007427038,0.02040816326530612,0.8611034636392487
Stomach,Stomach,Stomach,324,359,True,8771,2638.0,28254,22,30,0.018433092560562723,0.02040816326530612,0.9032215354675734
Brain_Cortex,Brain - Cortex,Brain,205,255,True,9082,2048.0,29560,23,19,0.019086688705396267,0.02040816326530612,0.9352477465644171
Pituitary,Pituitary,Pituitary,237,283,True,9146,2901.0,31187,24,26,0.01922119080594079,0.02040816326530612,0.9418383494910987
Heart_Left_Ventricle,Heart - Left Ventricle,Heart,386,432,True,9642,2357.0,26037,25,34,0.020263582085160846,0.02040816326530612,0.9929155221728815
Pancreas,Pancreas,Pancreas,305,328,True,9660,2250.0,27435,26,27,0.02030141080093899,0.02040816326530612,0.9947691292460107
