sample_group,gtex_tissue,attempted,scored,failures,seconds
LCL,Cells_EBV-transformed_lymphocytes,270,265,5,283.2
adipose_subcutaneous,Adipose_Subcutaneous,1323,1293,30,1391.2
adipose_visceral,Adipose_Visceral_Omentum,831,812,19,876.5
adrenal_gland,Adrenal_Gland,485,469,16,506.1
artery_aorta,Artery_Aorta,840,816,24,882.0
artery_coronary,Artery_Coronary,306,297,9,319.8
artery_tibial,Artery_Tibial,1225,1199,26,1300.9
blood,Whole_Blood,1040,1025,15,1125.5
brain_amygdala,Brain_Amygdala,176,166,10,193.0
brain_anterior_cingulate_cortex,Brain_Anterior_cingulate_cortex_BA24,264,248,16,288.3
brain_caudate,Brain_Caudate_basal_ganglia,443,431,12,466.2
brain_cerebellar_hemisphere,Brain_Cerebellar_Hemisphere,669,654,15,706.7
brain_cerebellum,Brain_Cerebellum,962,934,28,1019.5
brain_cortex,Brain_Cortex,518,504,14,548.3
brain_frontal_cortex,Brain_Frontal_Cortex_BA9,384,365,19,401.0
brain_hippocampus,Brain_Hippocampus,216,207,9,225.1
brain_hypothalamus,Brain_Hypothalamus,256,244,12,273.9
brain_nucleus_accumbens,Brain_Nucleus_accumbens_basal_ganglia,425,404,21,462.9
brain_putamen,Brain_Putamen_basal_ganglia,374,361,13,396.4
brain_spinal_cord,Brain_Spinal_cord_cervical_c-1,246,240,6,256.8
brain_substantia_nigra,Brain_Substantia_nigra,147,142,5,152.8
breast,Breast_Mammary_Tissue,694,673,21,739.7
colon_sigmoid,Colon_Sigmoid,616,594,22,648.9
colon_transverse,Colon_Transverse,734,713,21,783.0
esophagus_gej,Esophagus_Gastroesophageal_Junction,734,717,17,783.2
esophagus_mucosa,Esophagus_Mucosa,1070,1040,30,1143.6
esophagus_muscularis,Esophagus_Muscularis,1146,1124,22,1214.0
fibroblast,Cells_Cultured_fibroblasts,1276,1247,29,1364.7
heart_atrial_appendage,Heart_Atrial_Appendage,735,720,15,886.7
heart_left_ventricle,Heart_Left_Ventricle,633,616,17,731.9
liver,Liver,294,282,12,373.3
lung,Lung,985,958,27,1058.8
minor_salivary_gland,Minor_Salivary_Gland,234,227,7,289.4
muscle,Muscle_Skeletal,1022,1001,21,1139.2
nerve_tibial,Nerve_Tibial,1743,1709,34,1909.8
ovary,Ovary,315,304,11,329.9
pancreas,Pancreas,703,687,16,765.6
pituitary,Pituitary,499,482,17,522.3
prostate,Prostate,406,388,18,439.6
skin_not_sun_exposed,Skin_Not_Sun_Exposed_Suprapubic,997,969,28,1055.6
skin_sun_exposed,Skin_Sun_Exposed_Lower_leg,1288,1256,32,1374.9
small_intestine,Small_Intestine_Terminal_Ileum,327,316,11,350.4
spleen,Spleen,745,725,20,795.2
stomach,Stomach,521,504,17,583.2
testis,Testis,1529,1488,41,1727.8
thyroid,Thyroid,1756,1718,38,2058.9
uterus,Uterus,211,202,9,240.4
vagina,Vagina,146,140,6,152.9
