tissue_track,n,spearman,p,sign_agreement,rank
Pituitary,58,0.5659663477806146,3.6559111146523597e-06,0.7931034482758621,1
Thyroid,58,0.5487403488264789,8.202153817478779e-06,0.7931034482758621,2
Cervix_Endocervix,58,0.5405579993232643,1.1855318572149845e-05,0.7413793103448276,3
Nerve_Tibial,58,0.5387123565781784,1.2865448959531078e-05,0.7241379310344828,4
Fallopian_Tube,58,0.5115198868005782,4.066858035214653e-05,0.7586206896551724,5
Kidney_Cortex,58,0.5054292657417947,5.193696111452691e-05,0.7758620689655172,6
Ovary,58,0.5017379802516226,6.010014930800064e-05,0.7586206896551724,7
Lung,58,0.49743148051308866,7.110933993814895e-05,0.7413793103448276,8
Pancreas,58,0.49410932357193393,8.08381961064015e-05,0.7586206896551724,9
Breast_Mammary_Tissue,58,0.49392475929742535,8.141299062186964e-05,0.7241379310344828,10
Brain_Spinal_cord_cervical_c-1,58,0.4814359100556769,0.00013028084402887655,0.6896551724137931,11
Brain_Substantia_nigra,58,0.4800209172844443,0.00013725314272634642,0.6724137931034483,12
Adrenal_Gland,58,0.4795287458857548,0.00013975732016608108,0.7413793103448276,13
Cervix_Ectocervix,58,0.4787904887877204,0.00014359213740173667,0.7241379310344828,14
Kidney_Medulla,58,0.47799071026484974,0.00014785509540608428,0.7586206896551724,15
Uterus,58,0.47073118213417825,0.00019219644361071408,0.7068965517241379,16
Colon_Sigmoid,58,0.46919314651327326,0.0002030270878137094,0.7068965517241379,17
Brain_Putamen_basal_ganglia,58,0.46291796117998096,0.00025324252175275654,0.6896551724137931,18
Brain_Caudate_basal_ganglia,58,0.4583653757421023,0.000296499564376398,0.6551724137931034,19
Prostate,58,0.45196714755913747,0.00036870308876857003,0.7586206896551724,20
Brain_Amygdala,58,0.4493217262911809,0.00040297094395540603,0.6379310344827587,21
Brain_Hippocampus,58,0.4459995693500262,0.0004500949462871242,0.6551724137931034,22
Artery_Aorta,58,0.44353871235657827,0.0004881677073085384,0.6379310344827587,23
Vagina,58,0.44292349810821624,0.0004981313914002313,0.7931034482758621,24
Artery_Coronary,58,0.44267741240887143,0.0005021682379098868,0.6724137931034483,25
Brain_Hypothalamus,58,0.4420621981605094,0.0005123904649268167,0.6206896551724138,26
Muscle_Skeletal,58,0.44200067673567317,0.0005134229937612532,0.6896551724137931,27
Adipose_Subcutaneous,58,0.43363376295795014,0.0006727582160240398,0.6724137931034483,28
Brain_Nucleus_accumbens_basal_ganglia,58,0.4301270417422868,0.0007519196877490609,0.6379310344827587,29
Heart_Atrial_Appendage,58,0.4284044418468732,0.0007938072396425647,0.7241379310344828,30
Liver,58,0.42692792765080445,0.0008313749621280516,0.6896551724137931,31
Colon_Transverse,58,0.4258820634285891,0.0008589480985504927,0.6896551724137931,32
Artery_Tibial,58,0.4220677350887447,0.0009666379160827849,0.6724137931034483,33
Adipose_Visceral_Omentum,58,0.42028361376849493,0.0010210644822095795,0.6896551724137931,34
Small_Intestine_Terminal_Ileum,58,0.4188070995724261,0.0010681766760115674,0.6896551724137931,35
Heart_Left_Ventricle,58,0.41573102833061615,0.0011726615907910233,0.6724137931034483,36
Brain_Cortex,58,0.41111692146790124,0.0013466576592298708,0.6379310344827587,37
Cells_EBV-transformed_lymphocytes,58,0.411055400043065,0.0013491263386389344,0.7586206896551724,38
Brain_Anterior_cingulate_cortex_BA24,58,0.40988649297117724,0.0013968093115802195,0.6206896551724138,39
Stomach,58,0.4041650004614107,0.0016527179340937199,0.6551724137931034,40
Esophagus_Gastroesophageal_Junction,58,0.3992432864745148,0.0019056007801539795,0.6724137931034483,41
Spleen,58,0.398689593650989,0.0019361099164745762,0.7241379310344828,42
Bladder,58,0.3878003014549817,0.0026317174240741183,0.6896551724137931,43
Esophagus_Muscularis,58,0.38681595865760254,0.0027044044936581687,0.6724137931034483,44
Testis,58,0.3831246731674306,0.002993130178929518,0.6379310344827587,45
Brain_Frontal_Cortex_BA9,58,0.3762957950106125,0.0036001254672112645,0.603448275862069,46
Brain_Cerebellum,58,0.3744501522655265,0.0037818385200636675,0.6551724137931034,47
Brain_Cerebellar_Hemisphere,58,0.37401950229167313,0.003825387152686337,0.6379310344827587,48
Cells_Cultured_fibroblasts,58,0.37285059521978536,0.00394583274478444,0.6379310344827587,49
Minor_Salivary_Gland,58,0.3650988956904242,0.004832825148475797,0.7241379310344828,50
Whole_Blood,58,0.3364914331415916,0.009804552800338847,0.6551724137931034,51
Skin_Sun_Exposed_Lower_leg,58,0.3346457903965056,0.010240471303436806,0.7068965517241379,52
Esophagus_Mucosa,58,0.3209880340828694,0.014020053748054677,0.7068965517241379,53
Skin_Not_Sun_Exposed_Suprapubic,58,0.32024977698483503,0.014254672143783089,0.6896551724137931,54
