pip_min,cs_size_max,kidney_variants,kidney_rank,kidney_is_smallest,median_across_tissues,max_tissue,max_variants,fold_below_max,second_smallest
0.5,1,48,1,True,529,thyroid,1539,32.1,125
0.5,2,75,1,True,826,nerve_tibial,2296,30.6,197
0.5,5,102,1,True,1077,nerve_tibial,2987,29.3,265
0.5,10,112,1,True,1182,nerve_tibial,3237,28.9,291
0.5,25,122,1,True,1252,nerve_tibial,3355,27.5,312
0.5,none,122,1,True,1275,nerve_tibial,3387,27.8,319
0.7,1,48,1,True,529,thyroid,1539,32.1,125
0.7,2,61,1,True,708,nerve_tibial,1980,32.5,160
0.7,5,77,1,True,836,nerve_tibial,2314,30.1,192
0.7,10,78,1,True,871,nerve_tibial,2402,30.8,202
0.7,25,81,1,True,889,nerve_tibial,2439,30.1,213
0.7,none,81,1,True,891,nerve_tibial,2448,30.2,213
0.8,1,48,1,True,529,thyroid,1539,32.1,125
0.8,2,57,1,True,670,nerve_tibial,1871,32.8,152
0.8,5,67,1,True,744,nerve_tibial,2049,30.6,169
0.8,10,68,1,True,760,nerve_tibial,2092,30.8,175
0.8,25,69,1,True,767,nerve_tibial,2108,30.6,180
0.8,none,69,1,True,767,nerve_tibial,2113,30.6,181
0.9,1,48,1,True,529,thyroid,1539,32.1,125
0.9,2,55,1,True,600,thyroid,1720,31.3,140
0.9,5,59,1,True,616,thyroid,1756,29.8,146
0.9,10,59,1,True,617,thyroid,1760,29.8,147
0.9,25,60,1,True,620,thyroid,1765,29.4,148
0.9,none,60,1,True,620,thyroid,1765,29.4,149
0.95,1,48,1,True,529,thyroid,1539,32.1,125
0.95,2,48,1,True,529,thyroid,1539,32.1,125
0.95,5,48,1,True,529,thyroid,1539,32.1,125
0.95,10,48,1,True,529,thyroid,1539,32.1,125
0.95,25,48,1,True,529,thyroid,1539,32.1,125
0.95,none,48,1,True,529,thyroid,1539,32.1,125
0.99,1,37,1,True,384,nerve_tibial,1175,31.8,86
0.99,2,37,1,True,384,nerve_tibial,1175,31.8,86
0.99,5,37,1,True,384,nerve_tibial,1175,31.8,86
0.99,10,37,1,True,384,nerve_tibial,1175,31.8,86
0.99,25,37,1,True,384,nerve_tibial,1175,31.8,86
0.99,none,37,1,True,384,nerve_tibial,1175,31.8,86
